"",,,,OLD,,
REGION,POSTCODE,WARD,POSTCODE,POSTCODE,MTAA/VILLAGE,KITONGOJI
"",,,,,,,Railways,
"",,,,Mzingani,21102,,Mzingani,
"",,,,,,,Sahare,
"",,,,,,,Muheza,
"",,,,,,,Suji,
"",,,,,,,Majengo Mapya,
"",,,,,,,Mbolea,
"",,,,,,,Bondeni,
"",,,,,,,Msikitini,
"",,,,Usagara,21103,,"Usagara ""C""",
"",,,,,,,"Usagara ""A""",
"",,,,,,,Usagara Kati,
"",,,,,,,Usagara Kijiji,
"",,,,,,,"Usagara ""B""",
"",,,,Ngamiani Kaskazini,21104,,Askari,
"",,,,,,,Karafuu,
"",,,,,,,Lumumba,
"",,,,,,,Makoko,
"",,,,,,,Mkwakwani,
"",,,,,,,Maua,
"",,,,,,,Swahili,
"",,,,,,,Pangani Road,
"",,,,Ngamiani Kati,21105,,Swahili,
"",,,,,,,Karafuu,
"",,,,,,,Lumumba,
"",,,,,,,Makoko,
"",,,,,,,Mkwakwani,
"",,Maua
"",,Msikiti
"",,Taifa Road
Ngamiani Kusini,21106,"Jamhuri ""A"""
"",,"Jamhuri ""B"""
"",,"Mapinduzi ""A"""
"",,"Mapinduzi ""B"""
"",,"Muungano ""A"""
"",,"Muungano ""B"""
"",,"Azimio ""A"""
"",,"Azimio ""B"""
Majengo,21107,Chuda Quarters
"",,Chuda Youth
"",,Kanisani
"",,Masiwani
"",,Umba
"",,Chuda Reli
"",,Tembo Bar
"",,Fadhila
"",,Tangulia
"",,Tawakali
Chumbageni,21108,Kotazi
"",,Tumaini
"",,Kisosora Kusini
"",,Kisosora Kaskazini
"",,Ikulu
"",,Chumvini
"",,Mtupie
"",,Kwaminchi
"",,JUWATA
"",,Manzang'ombe
"",,Jofu juu A
"",,Roma
Makorora,21109,"Community ""A"""
"",,"Community ""B"""
"",,"Kombezi ""A"""
"",,"Kombezi ""B"""
"",,Makorora Kati
"",,Mtakuja
Mabawa,21110,TAPA
"",,"Mabawa ""A"""
"",,"Mabawa ""B"""
"",,"Mikanjuni ""A"""
